name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone,icp_score,icp_tier
Wadia College,Maharashtra,Pune,Aided,,1600,Large,wadiacollege.edu.in,,director.principal@nowrosjeewadiacollege.edu.in,2026163315,65,Tier2
Govt. Vidharbha Institute Of Science,Maharashtra,Amravati,Govt,,2200,Large,,,,7212662466,40,Tier2
Ict Mumbai (Udct),Maharashtra,Mumbai,Govt,,1800,Large,ictmumbai.edu.in,,vc@ictmumbai.edu.in,2233612222,65,Tier2
Pune University Dept. Of Chemistry,Maharashtra,Pune,Govt,,1200,Medium,unipune.ac.in,,,2025693981,50,Tier2
Vpm'S B N Bandodkar College,Maharashtra,Thane,Aided,,2100,Large,bnbandodkar.edu.in,,,2225446273,50,Tier2
Wilson College,Maharashtra,Mumbai,Aided,,3200,Large,wilsoncollege.edu,,,2222820661,50,Tier2
Hr College Of Commerce,Maharashtra,Mumbai,Aided,,4100,Large,hrcollege.edu,,principalconnect@hrcollege.edu,9326306348,65,Tier2
Mithibai College Of Arts,Maharashtra,Mumbai,Aided,,5200,Large,mithibai.ac.in,,principal@mithibai.ac.in,2226608000,65,Tier2
Kc College,Maharashtra,Mumbai,Aided,,3600,Large,kccollege.edu.in,,office@kccollege.edu.in,2222821022,65,Tier2
Sophia College For Women,Maharashtra,Mumbai,Aided,,2100,Large,sophiacollegemumbai.com,,admin@sophiacollege.edu.in,2222820282,65,Tier2
Ramnarain Ruia College,Maharashtra,Mumbai,Aided,,3100,Large,ruiacollege.edu,,principal@ruiacollege.edu,2269186201,65,Tier2
Vaze Kelkar College,Maharashtra,Mumbai,Aided,,2800,Large,vazekelkarcollege.org,,,2224952882,50,Tier2
Sp College Pune,Maharashtra,Pune,Govt,,4600,Large,spcollege.ac.in,,,2024331978,50,Tier2
Modern College Of Arts Pune,Maharashtra,Pune,Aided,,5100,Large,moderncollegepune.edu.in,,dascommercesf@moderncollegepune.edu.in,2025535468,65,Tier2
Abasaheb Garware College,Maharashtra,Pune,Aided,,3900,Large,agcollege.ac.in,,abasahebgarwarecollege@gmail.com,2025656840,65,Tier2
Brihan Maharashtra College,Maharashtra,Pune,Aided,,2700,Large,bmcc.ac.in,,,2067656200,50,Tier2
