name,phone,district,state,phone_cleaned
St. Ann's College for Women,040-27667849,Hyderabad,Telangana,4027667849
Osmania University College of Science,040-27682363,Hyderabad,Telangana,4027682363
Nizam College,8331997325,Hyderabad,Telangana,8331997325
SR & BGNR Govt. Degree College,0878-2230540,Karimnagar,Telangana,8782230540
Kakatiya University College,0870-2438866,Warangal,Telangana,8702438866
Aurora's Degree College,040-27660755,Hyderabad,Telangana,4027660755
St. Francis College for Women,040-23564955,Hyderabad,Telangana,4023564955
Govt. Degree College for Women,08462-222571,Nizamabad,Telangana,8462222571
Vasavi College of Engineering,040-23146001,Hyderabad,Telangana,4023146001
JNTU Hyderabad,040-23156113,Hyderabad,Telangana,4023156113
Muffakham Jah College of Engg,023-280301,Hyderabad,Telangana,023280301
Govt. City College,040-24604045,Hyderabad,Telangana,4024604045
Hyderabad Public School,040-23234251,Hyderabad,Telangana,4023234251
Narayana Junior College,18001023344,Hyderabad,Telangana,18001023344
Sri Chaitanya Junior College,040-66060606,Hyderabad,Telangana,4066060606
Osmania Medical College,040-27682363,Hyderabad,Telangana,4027682363
Deccan College of Medical Sciences,040-23310656,Hyderabad,Telangana,4023310656
Hyderabad Institute of Technology,9052223769,Hyderabad,Telangana,9052223769
Chaitanya Bharathi Institute,9849466587,Hyderabad,Telangana,9849466587
Gokaraju Rangaraju Inst of Engg,040-23044901,Hyderabad,Telangana,4023044901
KG Reddy College of Engineering,9000633008,Hyderabad,Telangana,9000633008
Mahatma Gandhi Institute of Technology,040-23044914,Hyderabad,Telangana,4023044914
Sreenidhi Institute of Science,040-27165554,Hyderabad,Telangana,4027165554
Govt. Degree College Nizamabad,08462-220423,Nizamabad,Telangana,8462220423
Govt. Degree College Karimnagar,0878-2221034,Karimnagar,Telangana,8782221034
Satavahana University College,0878-2226583,Karimnagar,Telangana,8782226583
Kakatiya Medical College,0870-2439033,Warangal,Telangana,8702439033
Warangal Institute of Technology,0870-2471200,Warangal,Telangana,8702471200
Govt. Degree College Mahbubnagar,08542-224122,Mahbubnagar,Telangana,8542224122
Palamuru University College,0854-2277144,Mahbubnagar,Telangana,8542277144
Govt. Degree College Khammam,08742-222417,Khammam,Telangana,8742222417
Telangana University College,08462-221501,Nizamabad,Telangana,8462221501
Lords Institute of Engineering,6309012442,Hyderabad,Telangana,6309012442
CVR College of Engineering,040-41525300,Hyderabad,Telangana,4041525300
TKR College of Engineering,9849477550,Hyderabad,Telangana,9849477550
Govt. Degree College Adilabad,08732-225455,Adilabad,Telangana,8732225455
Osmania University Law College,040-27682363,Hyderabad,Telangana,4027682363
St. Mary's College for Women,040-23232892,Hyderabad,Telangana,4023232892
Bhavans Vivekananda College,040-27667900,Hyderabad,Telangana,4027667900
Vardhaman College of Engineering,8688901557,Hyderabad,Telangana,8688901557
Aurora Engineering College,7036076661,Hyderabad,Telangana,7036076661
St. Xavier's College,022-22620661,Mumbai,Maharashtra,2222620661
Fergusson College,0206-7656000,Pune,Maharashtra,2067656000
Symbiosis College of Arts and Commerce,0202-5653903,Pune,Maharashtra,2025653903
Elphinstone College,022-22049237,Mumbai,Maharashtra,2222049237
Ruparel College,022-24305799,Mumbai,Maharashtra,2224305799
K.J. Somaiya College of Science,022-67283000,Mumbai,Maharashtra,2267283000
COEP Technological University,020-25507002,Pune,Maharashtra,2025507002
Wadia College,020-26143928,Pune,Maharashtra,2026143928
Govt. Vidharbha Institute of Science,0721-2662466,Amravati,Maharashtra,7212662466
ICT Mumbai (UDCT),022-33612222,Mumbai,Maharashtra,2233612222
Pune University Dept. of Chemistry,020-25601099,Pune,Maharashtra,2025601099
VPM's B N Bandodkar College,022-25394019,Thane,Maharashtra,2225394019
Wilson College,022-23663001,Mumbai,Maharashtra,2223663001
HR College of Commerce,9326306348,Mumbai,Maharashtra,9326306348
Mithibai College of Arts,022-26608000,Mumbai,Maharashtra,2226608000
KC College,9156094565,Mumbai,Maharashtra,9156094565
Sophia College for Women,022-22820823,Mumbai,Maharashtra,2222820823
Ramnarain Ruia College,022-69186201,Mumbai,Maharashtra,2269186201
Vaze Kelkar College,022-24952882,Mumbai,Maharashtra,2224952882
SP College Pune,0297-2296296,Pune,Maharashtra,2972296296
Modern College of Arts Pune,2025535468,Pune,Maharashtra,2025535468
Abasaheb Garware College,020-25656840,Pune,Maharashtra,2025656840
Brihan Maharashtra College,2067656200,Pune,Maharashtra,2067656200
Sir Parashurambhau College,0297-2296296,Pune,Maharashtra,2972296296
Govt. College of Engineering Pune,020-25507167,Pune,Maharashtra,2025507167
Visvesvaraya NIT Nagpur,0712-2223230,Nagpur,Maharashtra,7122223230
Govt. Medical College Nagpur,0712-2701133,Nagpur,Maharashtra,7122701133
Hislop College,8275490446,Nagpur,Maharashtra,8275490446
Dr. Ambedkar College Nagpur,0712-2726271,Nagpur,Maharashtra,7122726271
Walchand College of Engineering,0233-2247243,Sangli,Maharashtra,2332247243
Shivaji University College,0231-2609000,Kolhapur,Maharashtra,2312609000
DY Patil College of Engineering,020-67106000,Pune,Maharashtra,2067106000
Symbiosis Institute of Technology,020-28116200,Pune,Maharashtra,2028116200
FLAME University,18002094567,Pune,Maharashtra,18002094567
MIT College of Engineering Pune,020-30273400,Pune,Maharashtra,2030273400
Bharati Vidyapeeth College of Engg,022-25139610,Mumbai,Maharashtra,2225139610
Somaiya Vidyavihar University,022-26728301,Mumbai,Maharashtra,2226728301
NMIMS University Mumbai,080-40855555,Mumbai,Maharashtra,8040855555
Kishinchand Chellaram College,9156094565,Mumbai,Maharashtra,9156094565
Nowrosjee Wadia College,020-26143928,Pune,Maharashtra,2026143928
Dharampeth College Nagpur,0712-2557300,Nagpur,Maharashtra,7122557300
Vidyanagari Arts Commerce College,022-2708700,Mumbai,Maharashtra,0222708700
Christ University,080-40129100,Bengaluru,Karnataka,8040129100
Bangalore University College,080-22961100,Bengaluru,Karnataka,8022961100
Mount Carmel College,080-22261157,Bengaluru,Karnataka,8022261157
St. Joseph's College of Commerce,080-22212010,Bengaluru,Karnataka,8022212010
RV College of Engineering,080-67178001,Bengaluru,Karnataka,8067178001
Mysore University Constituent College,0821-2419901,Mysuru,Karnataka,8212419901
Manipal College of Arts,0820-2922073,Udupi,Karnataka,8202922073
Govt. First Grade College Gulbarga,08472-263234,Kalaburagi,Karnataka,8472263234
BMS College of Engineering,080-26622130,Bengaluru,Karnataka,8026622130
Govt. Science College Bengaluru,080-22281723,Bengaluru,Karnataka,8022281723
Jyoti Nivas College,080-25501444,Bengaluru,Karnataka,8025501444
Indian Institute of Science,080-22932004,Bengaluru,Karnataka,8022932004
National Law School of India,080-23010000,Bengaluru,Karnataka,8023010000
St. Joseph's College Bengaluru,080-25506424,Bengaluru,Karnataka,8025506424
Bishop Cotton Women's College,080-25201908,Bengaluru,Karnataka,8025201908
PES University,9901812003,Bengaluru,Karnataka,9901812003
Ramaiah Institute of Technology,080-23607902,Bengaluru,Karnataka,8023607902
Dayananda Sagar College,9916075170,Bengaluru,Karnataka,9916075170
New Horizon College of Engineering,9880534935,Bengaluru,Karnataka,9880534935
REVA University,8046966966,Bengaluru,Karnataka,8046966966
Alliance University,8046199000,Bengaluru,Karnataka,8046199000
Govt. Science College Hassan,08172-268015,Hassan,Karnataka,8172268015
Visvesvaraya Technological Univ,0831-2498100,Belagavi,Karnataka,8312498100
KLE Technological University,0836-2378103,Belagavi,Karnataka,8362378103
SDM College of Engineering,0836-2255619,Dharwad,Karnataka,8362255619
BVB College of Engineering,0831-2408022,Belagavi,Karnataka,8312408022
JSS College of Arts,0821-2548337,Mysuru,Karnataka,8212548337
Maharaja College Mysore,0821-2523720,Mysuru,Karnataka,8212523720
Yuvaraja College Mysore,0821-2548337,Mysuru,Karnataka,8212548337
Mangalore University College,9481608909,Mangaluru,Karnataka,9481608909
St. Aloysius College Mangalore,0824-4117704,Mangaluru,Karnataka,8244117704
Canara College,0824-2496600,Mangaluru,Karnataka,8242496600
Govt. First Grade College Tumkur,0816-2272004,Tumakuru,Karnataka,8162272004
Siddaganga Institute of Technology,8162282696,Tumakuru,Karnataka,8162282696
NMKRV College for Women,080-26761221,Bengaluru,Karnataka,8026761221
Seshadripuram College,080-23449234,Bengaluru,Karnataka,8023449234
CMR Institute of Technology,080-28524855,Bengaluru,Karnataka,8028524855
Global Academy of Technology,080-28603158,Bengaluru,Karnataka,8028603158
Nitte University College,9108242204300,Mangaluru,Karnataka,9108242204300
East West College of Engineering,080-28478400,Bengaluru,Karnataka,8028478400
Christ Academy Institute,080-46839900,Bengaluru,Karnataka,8046839900
Miranda House,011-27667437,Delhi,Delhi,1127667437
