name,principal_name,email,website
St. Ann's College for Women,,,https://stanns.edu.in
Osmania University College of Science,,,https://www.osmania.ac.in
Nizam College,Stadium Rd,principal@nizamcollege.ac.in,https://nizamcollege.ac.in
SR & BGNR Govt. Degree College,,,
Kakatiya University College,Office Registrar Registrar Registrar,,https://www.kakatiya.ac.in
Aurora's Degree College,,,https://www.auroradegree.ac.in
St. Francis College for Women,,,https://www.stfranciscollege.ac.in
Govt. Degree College for Women,,,
Vasavi College of Engineering,,,https://www.vasavicollege.ac.in
JNTU Hyderabad,Chancellor Rector Registrar Finance,pa2registrar@jntuh.ac.in,https://www.jntuh.ac.in
Muffakham Jah College of Engg,Strategic Plan Core Values,principal@mjcollege.ac.in,https://www.mjcollege.ac.in
Govt. City College,,,
Hyderabad Public School,,,https://www.hps.edu.in
Narayana Junior College,Narayana Educational Institutions,info@narayanagroup.com,https://www.narayanagroup.com
Sri Chaitanya Junior College,Read More,info@srichaitanya.net,https://www.srichaitanya.net
Osmania Medical College,,,https://osmaniamedicalcollege.org
Deccan College of Medical Sciences,,,https://dcmshyderabad.webnode.in
Hyderabad Institute of Technology,Educational Vertical,international@hitam.org,https://www.hitam.org
Chaitanya Bharathi Institute,Global Chief Information Officer,principal@cbit.ac.in,https://www.cbit.ac.in
Gokaraju Rangaraju Inst of Engg,Honour Sri Pranab Bharadwaj,placements@gokaraju.org,https://www.griet.ac.in
KG Reddy College of Engineering,Graduate Aptitude Test,,https://www.kgr.ac.in
Mahatma Gandhi Institute of Technology,,,https://www.mgit.ac.in
Sreenidhi Institute of Science,Message Principal Governing Body,,https://www.sreenidhi.edu.in
Govt. Degree College Nizamabad,,,
Govt. Degree College Karimnagar,,,
Satavahana University College,Studies Faculty Facilities Seminars,registrarsatavahana@gmail.com,https://www.satavahana.ac.in
Kakatiya Medical College,,,https://www.kmcwarangal.ac.in
Warangal Institute of Technology,,,https://www.wits.ac.in
Govt. Degree College Mahbubnagar,,,
Palamuru University College,Office University Profile Vision,u5@qi.pvn,https://www.palamuruuniversity.ac.in
Govt. Degree College Khammam,,,
Telangana University College,,,https://www.telanganauniversity.ac.in
Lords Institute of Engineering,Accreditations Statutory Bodies Governing,principal@lords.ac.in,https://www.lords.ac.in
CVR College of Engineering,,,https://www.cvr.ac.in
TKR College of Engineering,Message Principal Vice Principal,info@tkrcet.ac.in,https://www.tkrcet.ac.in
Govt. Degree College Adilabad,,,
Osmania University Law College,,,https://www.osmania.ac.in
St. Mary's College for Women,,,https://www.stmaryscollegehyd.com
Bhavans Vivekananda College,,,https://www.bvvcollege.org
CMR College of Engineering,Dean Academics Dean Faculty,principal@cmrcet.ac.in,https://www.cmrcet.ac.in
Vardhaman College of Engineering,Career Development Cell,,https://www.vardhaman.org
Aurora Engineering College,Murugappa Group,office@aec.edu.in,https://www.aec.edu.in
St. Xavier's College,Visiting Hours,examination.centre@xaviers.edu,https://www.xaviers.edu
Fergusson College,Administration Institutional Bodies Governance,principal@fergusson.edu,https://www.fergusson.edu
Symbiosis College of Arts and Commerce,Desk History Vision,contact@symbiosiscollege.edu.in,https://www.symbiosiscollege.edu.in
Elphinstone College,,,https://www.elphinstone.ac.in
Ruparel College,,,https://www.ruparelcollege.org
K.J. Somaiya College of Science,Jun Announcing Biochemistry,,https://kjssc.somaiya.edu
COEP Technological University,,,https://www.coep.org.in
Wadia College,,,https://www.wadiacollege.edu.in
Govt. Vidharbha Institute of Science,,,
ICT Mumbai (UDCT),,,https://www.ictmumbai.edu.in
Pune University Dept. of Chemistry,Chancellor Fund,webmaster@pun.unipune.ac.in,https://www.unipune.ac.in
VPM's B N Bandodkar College,,,https://www.bnbandodkar.edu.in
Wilson College,Mr. Subrata Gorai Management Member,info@wilsoncollege.edu,https://www.wilsoncollege.edu
HR College of Commerce,,,https://www.hrcollege.edu
Mithibai College of Arts,Ms. Gladys Albert Vice Principal,queriesadmission@mithibai.ac.in,https://www.mithibai.ac.in
KC College,Recognition Organization Chart,studentsupport@kccollege.edu.in,https://www.kccollege.edu.in
Sophia College for Women,,,https://www.sophiacollegemumbai.com
Ramnarain Ruia College,,,https://www.ruiacollege.edu
Vaze Kelkar College,,,https://www.vazekelkarcollege.org
SP College Pune,Hitesh Kumar Member Ms,office@sirohieducation.com,https://www.spcollege.ac.in
Modern College of Arts Pune,Desk College Profile Management,hodcompsci@moderncollegepune.edu.in,https://www.moderncollegepune.edu.in
Abasaheb Garware College,,,https://www.agcollege.ac.in
Brihan Maharashtra College,Profile Faculties Administration,office.bmcc@despune.org,https://www.bmcc.ac.in
Sir Parashurambhau College,Hitesh Kumar Member Ms,office@sirohieducation.com,https://www.spcollege.ac.in
Govt. College of Engineering Pune,,,https://www.gcoep.ac.in
Visvesvaraya NIT Nagpur,,,https://www.vnit.ac.in
Govt. Medical College Nagpur,,,https://www.gmcnagpur.com
Hislop College,Hislop Education Society Vision,principal@hislopcollege.ac.in,https://www.hislopcollege.ac.in
Dr. Ambedkar College Nagpur,,,https://www.drambedkarcollege.ac.in
Walchand College of Engineering,,,https://www.walchandsangli.ac.in
Shivaji University College,Statistical Cell Administration Home,,https://www.unishivaji.ac.in
DY Patil College of Engineering,,,https://www.dypvp.edu.in
Symbiosis Institute of Technology,,,https://www.sit.edu.in
FLAME University,Marico Limited Know More,enquiry@flame.edu.in,https://www.flame.edu.in
MIT College of Engineering Pune,,,https://www.mitcoe.edu.in
Bharati Vidyapeeth College of Engg,,,https://www.bvcoem.edu.in
Somaiya Vidyavihar University,"Dr.
											Shantilal K. Somaiya School",,https://www.somaiya.edu
NMIMS University Mumbai,Message University Leadership Team,sandeep.tomar@nmims.edu,https://www.nmims.edu
Kishinchand Chellaram College,Recognition Organization Chart,studentsupport@kccollege.edu.in,https://www.kccollege.edu.in
Nowrosjee Wadia College,,,https://www.wadiacollege.edu.in
Dharampeth College Nagpur,,,
Vidyanagari Arts Commerce College,Shri Jishnu Dev Varma,,https://www.mu.ac.in
Christ University,Vice Chancellor Graduate Attributes,mail@christuniversity.in,https://www.christuniversity.in
Bangalore University College,,,https://www.bangaloreuniversity.ac.in
Mount Carmel College,,,https://www.mountcarmelcollegeblr.ac.in
St. Joseph's College of Commerce,Message Milestones Administration Management,info@sjcc.edu.in,https://www.sjcc.edu.in
RV College of Engineering,,,https://www.rvce.edu.in
