name,phone,district,state
St. Ann's College for Women,8888888888,Hyderabad,Telangana
Osmania University College of Science,04027682363,Hyderabad,Telangana
Nizam College,04023230935,Hyderabad,Telangana
SR & BGNR Govt. Degree College,8888888888,Karimnagar,Telangana
Kakatiya University College,08702438866,Warangal,Telangana
Aurora's Degree College,8792060443,Hyderabad,Telangana
St. Francis College for Women,8888888888,Hyderabad,Telangana
Govt. Degree College for Women,8888888888,Nizamabad,Telangana
Vasavi College of Engineering,04023146000,Hyderabad,Telangana
JNTU Hyderabad,04023158661,Hyderabad,Telangana
Muffakham Jah College of Engg,04023312785,Hyderabad,Telangana
Govt. City College,8888888888,Hyderabad,Telangana
Hyderabad Public School,,Hyderabad,Telangana
Narayana Junior College,,Hyderabad,Telangana
Sri Chaitanya Junior College,,Hyderabad,Telangana
Osmania Medical College,04027682211,Hyderabad,Telangana
Deccan College of Medical Sciences,,Hyderabad,Telangana
Hyderabad Institute of Technology,9980830836,Hyderabad,Telangana
Chaitanya Bharathi Institute,04024193276,Hyderabad,Telangana
Gokaraju Rangaraju Inst of Engg,04023044444,Hyderabad,Telangana
KG Reddy College of Engineering,04023044551,Hyderabad,Telangana
Mahatma Gandhi Institute of Technology,8050986576,Hyderabad,Telangana
Sreenidhi Institute of Science,04027165554,Hyderabad,Telangana
Govt. Degree College Nizamabad,8888888888,Nizamabad,Telangana
Govt. Degree College Karimnagar,8888888888,Karimnagar,Telangana
Satavahana University College,8460208174,Karimnagar,Telangana
Kakatiya Medical College,08702459033,Warangal,Telangana
Warangal Institute of Technology,08712200500,Warangal,Telangana
Govt. Degree College Mahbubnagar,8888888888,Mahbubnagar,Telangana
Palamuru University College,08542242800,Mahbubnagar,Telangana
Govt. Degree College Khammam,8888888888,Khammam,Telangana
Telangana University College,08462221350,Nizamabad,Telangana
Lords Institute of Engineering,8792488281,Hyderabad,Telangana
CVR College of Engineering,08415252800,Hyderabad,Telangana
TKR College of Engineering,04023412666,Hyderabad,Telangana
Govt. Degree College Adilabad,8888888888,Adilabad,Telangana
Osmania University Law College,04027682364,Hyderabad,Telangana
St. Mary's College for Women,8888888888,Hyderabad,Telangana
Bhavans Vivekananda College,04027668985,Hyderabad,Telangana
CMR College of Engineering,04064640000,Hyderabad,Telangana
Vardhaman College of Engineering,08415255444,Hyderabad,Telangana
Aurora Engineering College,8904078708,Hyderabad,Telangana
St. Xavier's College,8888888888,Mumbai,Maharashtra
Fergusson College,02025671235,Pune,Maharashtra
Symbiosis College of Arts and Commerce,02025652444,Pune,Maharashtra
Elphinstone College,02222041423,Mumbai,Maharashtra
Ruparel College,02224370209,Mumbai,Maharashtra
K.J. Somaiya College of Science,8888888888,Mumbai,Maharashtra
COEP Technological University,02025507000,Pune,Maharashtra
Wadia College,02026163315,Pune,Maharashtra
Govt. Vidharbha Institute of Science,8888888888,Amravati,Maharashtra
ICT Mumbai (UDCT),02233612222,Mumbai,Maharashtra
Pune University Dept. of Chemistry,8888888888,Pune,Maharashtra
VPM's B N Bandodkar College,02225446273,Thane,Maharashtra
Wilson College,02222820661,Mumbai,Maharashtra
HR College of Commerce,02222830661,Mumbai,Maharashtra
Mithibai College of Arts,02226608361,Mumbai,Maharashtra
KC College,02222821022,Mumbai,Maharashtra
Sophia College for Women,02222820282,Mumbai,Maharashtra
Ramnarain Ruia College,8460295493,Mumbai,Maharashtra
Vaze Kelkar College,8460295493,Mumbai,Maharashtra
SP College Pune,7383438901,Pune,Maharashtra
Modern College of Arts Pune,9035134492,Pune,Maharashtra
Abasaheb Garware College,02025652285,Pune,Maharashtra
Brihan Maharashtra College,02025534238,Pune,Maharashtra
Sir Parashurambhau College,02024331287,Pune,Maharashtra
Govt. College of Engineering Pune,8888888888,Pune,Maharashtra
Visvesvaraya NIT Nagpur,07122223230,Nagpur,Maharashtra
Govt. Medical College Nagpur,8888888888,Nagpur,Maharashtra
Hislop College,07122533216,Nagpur,Maharashtra
Dr. Ambedkar College Nagpur,8888888888,Nagpur,Maharashtra
Walchand College of Engineering,02332247001,Sangli,Maharashtra
Shivaji University College,02312609000,Kolhapur,Maharashtra
DY Patil College of Engineering,02067106000,Pune,Maharashtra
Symbiosis Institute of Technology,02028116200,Pune,Maharashtra
FLAME University,02067906000,Pune,Maharashtra
MIT College of Engineering Pune,02030273000,Pune,Maharashtra
Bharati Vidyapeeth College of Engg,8511396358,Mumbai,Maharashtra
Somaiya Vidyavihar University,02267283030,Mumbai,Maharashtra
NMIMS University Mumbai,02242355555,Mumbai,Maharashtra
Kishinchand Chellaram College,02222820661,Mumbai,Maharashtra
Nowrosjee Wadia College,02026163315,Pune,Maharashtra
Dharampeth College Nagpur,07122556580,Nagpur,Maharashtra
Vidyanagari Arts Commerce College,02225198000,Mumbai,Maharashtra
Christ University,08040129100,Bengaluru,Karnataka
Bangalore University College,9035866070,Bengaluru,Karnataka
Mount Carmel College,08022213237,Bengaluru,Karnataka
St. Joseph's College of Commerce,8888888888,Bengaluru,Karnataka
RV College of Engineering,08067178000,Bengaluru,Karnataka
Mysore University Constituent College,8735076637,Mysuru,Karnataka
Manipal College of Arts,08202922073,Udupi,Karnataka
Govt. First Grade College Gulbarga,8888888888,Kalaburagi,Karnataka
BMS College of Engineering,08026622130,Bengaluru,Karnataka
Govt. Science College Bengaluru,8888888888,Bengaluru,Karnataka
Jyoti Nivas College,8401222532,Bengaluru,Karnataka
Indian Institute of Science,08022932004,Bengaluru,Karnataka
National Law School of India,08023213160,Bengaluru,Karnataka
St. Joseph's College Bengaluru,8888888888,Bengaluru,Karnataka
Bishop Cotton Women's College,08025201399,Bengaluru,Karnataka
PES University,08026723500,Bengaluru,Karnataka
Ramaiah Institute of Technology,8197430059,Bengaluru,Karnataka
Dayananda Sagar College,08026612011,Bengaluru,Karnataka
New Horizon College of Engineering,08028477717,Bengaluru,Karnataka
REVA University,08064600000,Bengaluru,Karnataka
Alliance University,08030938000,Bengaluru,Karnataka
Govt. Science College Hassan,8888888888,Hassan,Karnataka
Visvesvaraya Technological Univ,08312498100,Belagavi,Karnataka
KLE Technological University,08312498200,Belagavi,Karnataka
SDM College of Engineering,08362447465,Dharwad,Karnataka
BVB College of Engineering,08312407500,Belagavi,Karnataka
JSS College of Arts,08212548318,Mysuru,Karnataka
Maharaja College Mysore,9035237383,Mysuru,Karnataka
Yuvaraja College Mysore,,Mysuru,Karnataka
Mangalore University College,7383113475,Mangaluru,Karnataka
St. Aloysius College Mangalore,8888888888,Mangaluru,Karnataka
Canara College,8733964036,Mangaluru,Karnataka
Govt. First Grade College Tumkur,8888888888,Tumakuru,Karnataka
Siddaganga Institute of Technology,08162273547,Tumakuru,Karnataka
NMKRV College for Women,08026761222,Bengaluru,Karnataka
Seshadripuram College,08023449244,Bengaluru,Karnataka
CMR Institute of Technology,08028524030,Bengaluru,Karnataka
Global Academy of Technology,8511894358,Bengaluru,Karnataka
Nitte University College,7383113475,Mangaluru,Karnataka
East West College of Engineering,08028608252,Bengaluru,Karnataka
Christ Academy Institute,9980683270,Bengaluru,Karnataka
Miranda House,01127666983,Delhi,Delhi
St. Stephen's College,8888888888,Delhi,Delhi
Lady Shri Ram College for Women,01124111390,Delhi,Delhi
Kirori Mal College,8147151090,Delhi,Delhi
Hindu College,01127667184,Delhi,Delhi
Hansraj College,01127667747,Delhi,Delhi
Ramjas College,8971836926,Delhi,Delhi
Indraprastha College for Women,7411787155,Delhi,Delhi
Gargi College,01126494690,Delhi,Delhi
Jesus and Mary College,01126881971,Delhi,Delhi
Dyal Singh College,01127667001,Delhi,Delhi
Daulat Ram College,7795671366,Delhi,Delhi
Sri Venkateswara College,01124111399,Delhi,Delhi
Atma Ram Sanatan Dharma College,8460480034,Delhi,Delhi
Motilal Nehru College,01126115054,Delhi,Delhi
Shyam Lal College,01122326139,Delhi,Delhi
Janki Devi Memorial College,8460226211,Delhi,Delhi
Maitreyi College,01126110942,Delhi,Delhi
Maharaja Agrasen College,01127243022,Delhi,Delhi
Acharya Narendra Dev College,01122553950,Delhi,Delhi
Shaheed Bhagat Singh College,8460405970,Delhi,Delhi
Keshav Mahavidyalaya,01127662609,Delhi,Delhi
Sri Aurobindo College,01126521408,Delhi,Delhi
Bhim Rao Ambedkar College,01122385950,Delhi,Delhi
Kalindi College,01126848601,Delhi,Delhi
Lakshmibai College,01125093001,Delhi,Delhi
Delhi College of Arts and Commerce,7947158024,Delhi,Delhi
Jamia Millia Islamia,01126985507,Delhi,Delhi
Jawaharlal Nehru University,01126742676,Delhi,Delhi
Delhi Technological University,01127871018,Delhi,Delhi
Indraprastha Institute of IT,7411787155,Delhi,Delhi
Amity University Delhi,01204392000,Delhi,Delhi
Guru Gobind Singh Indraprastha Uni,01125302173,Delhi,Delhi
Lady Irwin College,01123388021,Delhi,Delhi
College of Vocational Studies,01126161200,Delhi,Delhi
Zakir Husain Delhi College,01123239021,Delhi,Delhi
Satyawati College,01127284067,Delhi,Delhi
Vivekananda College,9054442408,Delhi,Delhi
Shivaji College Delhi,01125101218,Delhi,Delhi
Loyola College,04428175742,Chennai,Tamil Nadu
Presidency College,8128587791,Chennai,Tamil Nadu
Stella Maris College,04428251948,Chennai,Tamil Nadu
PSG College of Arts and Science,04222572177,Coimbatore,Tamil Nadu
Govt. Arts College,8888888888,Coimbatore,Tamil Nadu
Madras Christian College,9606241461,Chennai,Tamil Nadu
Vellore Institute of Technology,04162202020,Vellore,Tamil Nadu
Annamalai University Constituent Coll,04144238343,Cuddalore,Tamil Nadu
Sri Ramakrishna College of Arts,04222543881,Coimbatore,Tamil Nadu
Womens Christian College,9606241461,Chennai,Tamil Nadu
IIT Madras,04422578000,Chennai,Tamil Nadu
Anna University,04422357004,Chennai,Tamil Nadu
University of Madras,04425399422,Chennai,Tamil Nadu
Pachaiyappa's College,04426210082,Chennai,Tamil Nadu
Government Arts College Chennai,04425362064,Chennai,Tamil Nadu
Queen Mary's College,04428362010,Chennai,Tamil Nadu
Lady Doak College,04522530031,Madurai,Tamil Nadu
American College Madurai,7383444879,Madurai,Tamil Nadu
Madurai Kamaraj University College,04522458471,Madurai,Tamil Nadu
Thiagarajar College,04522312375,Madurai,Tamil Nadu
Sri Krishna College of Engineering,04222615510,Coimbatore,Tamil Nadu
Kumaraguru College of Technology,04222669401,Coimbatore,Tamil Nadu
Kongu Engineering College,04294226585,Erode,Tamil Nadu
Salem College,04272232501,Salem,Tamil Nadu
Periyar University College,04272345766,Salem,Tamil Nadu
Bishop Heber College,04312200500,Tiruchirappalli,Tamil Nadu
National College Tiruchirappalli,04312460966,Tiruchirappalli,Tamil Nadu
Bharathidasan University College,04312407071,Tiruchirappalli,Tamil Nadu
Jamal Mohamed College,8511408530,Tiruchirappalli,Tamil Nadu
Holy Cross College,8123769187,Tiruchirappalli,Tamil Nadu
Sathyabama Institute of Science,7383413520,Chennai,Tamil Nadu
Saveetha Engineering College,04426680025,Chennai,Tamil Nadu
Sri Sairam Engineering College,04422251000,Chennai,Tamil Nadu
Vel Tech University,04426840404,Chennai,Tamil Nadu
SSN College of Engineering,04427469700,Chennai,Tamil Nadu
Ethiraj College for Women,04428272835,Chennai,Tamil Nadu
Dr. Ambedkar Govt. Arts College,8888888888,Chennai,Tamil Nadu
Govt. Arts College Nandanam,8888888888,Chennai,Tamil Nadu
Rajalakshmi Engineering College,04437181001,Chennai,Tamil Nadu
Govt. Arts College Coimbatore,8888888888,Coimbatore,Tamil Nadu
